starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 20 20:18:00 2014	1392920280	4	50	55	16
Thu Feb 20 20:18:00 2014	1392920280	11	82	93	63
Thu Feb 20 20:18:00 2014	1392920280	11	88	99	74
Thu Feb 20 20:18:00 2014	1392920280	11	123	134	108
Thu Feb 20 20:18:00 2014	1392920280	11	137	148	111
Thu Feb 20 20:18:00 2014	1392920280	11	173	184	159
Thu Feb 20 20:18:00 2014	1392920280	11	176	187	149
Thu Feb 20 20:18:00 2014	1392920280	11	212	223	196
Thu Feb 20 20:18:00 2014	1392920280	11	223	233	198
Thu Feb 20 20:18:00 2014	1392920280	11	251	262	235
Thu Feb 20 20:18:00 2014	1392920280	11	268	279	253
Thu Feb 20 20:18:00 2014	1392920280	10	306	317	291
Thu Feb 20 20:18:00 2014	1392920280	11	307	317	278
Thu Feb 20 20:18:00 2014	1392920280	10	349	359	329
Thu Feb 20 20:18:00 2014	1392920280	10	356	367	326
Thu Feb 20 20:18:00 2014	1392920280	10	388	398	374
Thu Feb 20 20:18:00 2014	1392920280	10	402	412	381
Thu Feb 20 20:18:00 2014	1392920280	10	426	436	409
Thu Feb 20 20:18:00 2014	1392920280	10	449	459	432
Thu Feb 20 20:18:00 2014	1392920280	10	467	477	450
Thu Feb 20 20:18:00 2014	1392920280	10	502	512	488
Thu Feb 20 20:18:00 2014	1392920280	10	503	513	478
Thu Feb 20 20:18:00 2014	1392920280	10	538	548	524
Thu Feb 20 20:18:00 2014	1392920280	10	548	558	523
Thu Feb 20 20:18:00 2014	1392920280	10	581	591	558
Thu Feb 20 20:18:00 2014	1392920280	10	592	602	577
Thu Feb 20 20:18:00 2014	1392920280	10	627	637	613
Thu Feb 20 20:18:00 2014	1392920280	10	633	643	608
Thu Feb 20 20:18:00 2014	1392920280	10	677	686	660
Thu Feb 20 20:18:00 2014	1392920280	10	685	694	660
Thu Feb 20 20:18:00 2014	1392920280	9	714	723	697
Thu Feb 20 20:18:00 2014	1392920280	9	725	735	711
Thu Feb 20 20:18:00 2014	1392920280	9	765	775	746
Thu Feb 20 20:18:00 2014	1392920280	9	767	776	743
Thu Feb 20 20:18:00 2014	1392920280	9	807	816	790
Thu Feb 20 20:18:00 2014	1392920280	9	813	822	788
Thu Feb 20 20:18:00 2014	1392920280	9	842	851	828
Thu Feb 20 20:18:00 2014	1392920280	9	857	866	841
Thu Feb 20 20:18:00 2014	1392920280	9	877	886	863
Thu Feb 20 20:18:00 2014	1392920280	9	906	915	887
Thu Feb 20 20:18:00 2014	1392920280	9	923	932	899
Thu Feb 20 20:18:00 2014	1392920280	9	947	956	930
Thu Feb 20 20:18:00 2014	1392920280	9	958	967	945
Thu Feb 20 20:18:00 2014	1392920280	8	998	1006	980
Thu Feb 20 20:18:00 2014	1392920280	9	1001	1010	976
Thu Feb 20 20:18:07 2014	1392920287	0	1041	1041	1023
Thu Feb 20 20:18:05 2014	1392920285	0	1044	1044	1027
Thu Feb 20 20:18:00 2014	1392920280	8	1039	1047	1023
Thu Feb 20 20:18:05 2014	1392920285	0	1047	1048	1034
Thu Feb 20 20:18:10 2014	1392920290	0	1048	1048	1032
Thu Feb 20 20:18:13 2014	1392920293	0	1049	1049	1034
Thu Feb 20 20:18:20 2014	1392920300	0	1049	1049	1031
Thu Feb 20 20:18:09 2014	1392920289	0	1050	1050	1032
Thu Feb 20 20:18:13 2014	1392920293	0	1050	1050	1035
Thu Feb 20 20:18:13 2014	1392920293	0	1050	1050	1031
Thu Feb 20 20:18:09 2014	1392920289	0	1050	1050	1036
Thu Feb 20 20:18:20 2014	1392920300	0	1052	1052	1037
Thu Feb 20 20:18:09 2014	1392920289	0	1052	1052	1038
Thu Feb 20 20:18:07 2014	1392920287	0	1052	1052	1031
Thu Feb 20 20:18:13 2014	1392920293	0	1053	1053	1040
Thu Feb 20 20:18:09 2014	1392920289	0	1053	1053	1039
Thu Feb 20 20:18:09 2014	1392920289	0	1053	1053	1038
Thu Feb 20 20:18:20 2014	1392920300	0	1053	1054	1039
Thu Feb 20 20:18:02 2014	1392920282	0	1054	1054	1038
Thu Feb 20 20:18:18 2014	1392920298	0	1054	1054	1036
Thu Feb 20 20:18:10 2014	1392920290	0	1054	1054	1031
Thu Feb 20 20:18:09 2014	1392920289	0	1054	1054	1040
Thu Feb 20 20:18:05 2014	1392920285	0	1054	1054	1038
Thu Feb 20 20:18:10 2014	1392920290	0	1054	1054	1038
Thu Feb 20 20:18:07 2014	1392920287	0	1054	1054	1033
Thu Feb 20 20:18:21 2014	1392920301	0	1055	1055	1041
Thu Feb 20 20:18:00 2014	1392920280	8	1047	1055	1022
Thu Feb 20 20:18:21 2014	1392920301	0	1055	1055	1038
Thu Feb 20 20:18:18 2014	1392920298	0	1055	1055	1033
Thu Feb 20 20:18:20 2014	1392920300	0	1056	1056	1038
Thu Feb 20 20:18:07 2014	1392920287	0	1056	1056	1041
Thu Feb 20 20:18:18 2014	1392920298	0	1057	1057	1043
Thu Feb 20 20:18:20 2014	1392920300	0	1057	1057	1039
Thu Feb 20 20:18:20 2014	1392920300	0	1057	1057	1042
Thu Feb 20 20:18:09 2014	1392920289	0	1057	1057	1037
Thu Feb 20 20:18:05 2014	1392920285	0	1058	1058	1041
Thu Feb 20 20:18:05 2014	1392920285	0	1058	1058	1040
Thu Feb 20 20:18:02 2014	1392920282	0	1058	1058	1034
Thu Feb 20 20:18:21 2014	1392920301	0	1058	1058	1046
Thu Feb 20 20:18:20 2014	1392920300	0	1058	1058	1045
Thu Feb 20 20:18:05 2014	1392920285	0	1059	1059	1045
Thu Feb 20 20:18:13 2014	1392920293	0	1059	1059	1033
Thu Feb 20 20:18:07 2014	1392920287	0	1059	1059	1045
Thu Feb 20 20:18:20 2014	1392920300	0	1060	1060	1046
Thu Feb 20 20:18:10 2014	1392920290	0	1060	1060	1045
Thu Feb 20 20:18:02 2014	1392920282	0	1060	1061	1047
Thu Feb 20 20:18:05 2014	1392920285	0	1061	1061	1044
Thu Feb 20 20:18:13 2014	1392920293	0	1061	1062	1035
Thu Feb 20 20:18:05 2014	1392920285	0	1062	1062	1042
Thu Feb 20 20:18:20 2014	1392920300	0	1062	1062	1049
Thu Feb 20 20:18:09 2014	1392920289	0	1062	1062	1039
Thu Feb 20 20:18:17 2014	1392920297	0	1062	1062	1045
Thu Feb 20 20:18:09 2014	1392920289	0	1063	1063	1045
Thu Feb 20 20:18:05 2014	1392920285	0	1063	1063	1049
Thu Feb 20 20:18:07 2014	1392920287	0	1063	1063	1047
Thu Feb 20 20:18:17 2014	1392920297	0	1063	1063	1050
Thu Feb 20 20:18:13 2014	1392920293	0	1063	1063	1039
Thu Feb 20 20:18:09 2014	1392920289	0	1063	1064	1042
Thu Feb 20 20:18:09 2014	1392920289	0	1063	1064	1043
Thu Feb 20 20:18:01 2014	1392920281	0	1064	1064	1048
Thu Feb 20 20:18:09 2014	1392920289	0	1064	1064	1040
Thu Feb 20 20:18:05 2014	1392920285	0	1065	1065	1042
Thu Feb 20 20:18:05 2014	1392920285	0	1065	1065	1049
Thu Feb 20 20:18:07 2014	1392920287	0	1065	1065	1041
Thu Feb 20 20:18:20 2014	1392920300	0	1065	1065	1051
Thu Feb 20 20:18:05 2014	1392920285	0	1065	1065	1048
Thu Feb 20 20:18:02 2014	1392920282	0	1065	1065	1048
Thu Feb 20 20:18:07 2014	1392920287	0	1065	1065	1053
Thu Feb 20 20:18:01 2014	1392920281	0	1066	1066	1050
Thu Feb 20 20:18:00 2014	1392920280	0	1066	1066	1046
Thu Feb 20 20:18:05 2014	1392920285	0	1066	1066	1041
Thu Feb 20 20:18:20 2014	1392920300	0	1066	1066	1042
Thu Feb 20 20:18:20 2014	1392920300	0	1066	1066	1052
Thu Feb 20 20:18:09 2014	1392920289	0	1066	1066	1051
Thu Feb 20 20:18:01 2014	1392920281	0	1066	1066	1049
Thu Feb 20 20:18:20 2014	1392920300	0	1066	1066	1049
Thu Feb 20 20:18:01 2014	1392920281	0	1066	1066	1050
Thu Feb 20 20:18:04 2014	1392920284	0	1066	1066	1049
Thu Feb 20 20:18:20 2014	1392920300	0	1066	1066	1049
Thu Feb 20 20:18:01 2014	1392920281	0	1066	1067	1049
Thu Feb 20 20:18:07 2014	1392920287	0	1067	1067	1053
Thu Feb 20 20:18:01 2014	1392920281	0	1067	1067	1053
Thu Feb 20 20:18:07 2014	1392920287	0	1067	1067	1052
Thu Feb 20 20:18:07 2014	1392920287	0	1067	1067	1052
Thu Feb 20 20:18:10 2014	1392920290	0	1067	1067	1049
Thu Feb 20 20:18:05 2014	1392920285	0	1067	1067	1043
Thu Feb 20 20:18:09 2014	1392920289	0	1067	1068	1051
Thu Feb 20 20:18:07 2014	1392920287	0	1067	1068	1055
Thu Feb 20 20:18:13 2014	1392920293	0	1068	1068	1043
Thu Feb 20 20:18:09 2014	1392920289	0	1068	1068	1055
Thu Feb 20 20:18:13 2014	1392920293	0	1068	1068	1055
Thu Feb 20 20:18:09 2014	1392920289	0	1068	1068	1048
Thu Feb 20 20:18:07 2014	1392920287	0	1068	1068	1054
Thu Feb 20 20:18:20 2014	1392920300	0	1068	1068	1042
Thu Feb 20 20:18:09 2014	1392920289	0	1068	1068	1052
Thu Feb 20 20:18:07 2014	1392920287	0	1069	1069	1043
Thu Feb 20 20:18:07 2014	1392920287	0	1069	1069	1051
Thu Feb 20 20:18:01 2014	1392920281	0	1069	1069	1052
Thu Feb 20 20:18:02 2014	1392920282	0	1069	1069	1053
Thu Feb 20 20:18:09 2014	1392920289	0	1069	1069	1048
Thu Feb 20 20:18:20 2014	1392920300	0	1069	1069	1051
Thu Feb 20 20:18:13 2014	1392920293	0	1069	1069	1053
Thu Feb 20 20:18:18 2014	1392920298	0	1069	1070	1056
Thu Feb 20 20:18:01 2014	1392920281	0	1069	1070	1057
Thu Feb 20 20:18:18 2014	1392920298	0	1070	1070	1048
Thu Feb 20 20:18:09 2014	1392920289	0	1070	1070	1046
Thu Feb 20 20:18:09 2014	1392920289	0	1070	1070	1043
Thu Feb 20 20:18:09 2014	1392920289	0	1070	1070	1052
Thu Feb 20 20:18:09 2014	1392920289	0	1070	1070	1055
Thu Feb 20 20:18:05 2014	1392920285	0	1070	1070	1057
Thu Feb 20 20:18:06 2014	1392920286	0	1070	1070	1055
Thu Feb 20 20:18:21 2014	1392920301	0	1070	1070	1053
Thu Feb 20 20:18:07 2014	1392920287	0	1070	1070	1056
Thu Feb 20 20:18:09 2014	1392920289	0	1070	1071	1058
Thu Feb 20 20:18:18 2014	1392920298	0	1070	1071	1055
Thu Feb 20 20:18:20 2014	1392920300	0	1071	1071	1055
Thu Feb 20 20:18:07 2014	1392920287	0	1071	1071	1058
Thu Feb 20 20:18:18 2014	1392920298	0	1071	1071	1058
Thu Feb 20 20:18:01 2014	1392920281	0	1071	1071	1047
Thu Feb 20 20:18:10 2014	1392920290	0	1071	1071	1054
Thu Feb 20 20:18:09 2014	1392920289	0	1071	1071	1057
Thu Feb 20 20:18:01 2014	1392920281	0	1071	1071	1053
Thu Feb 20 20:18:20 2014	1392920300	0	1071	1071	1054
Thu Feb 20 20:18:05 2014	1392920285	0	1071	1071	1057
Thu Feb 20 20:18:09 2014	1392920289	0	1071	1071	1058
Thu Feb 20 20:18:13 2014	1392920293	0	1071	1071	1053
Thu Feb 20 20:18:17 2014	1392920297	0	1071	1071	1048
Thu Feb 20 20:18:20 2014	1392920300	0	1071	1072	1046
Thu Feb 20 20:18:04 2014	1392920284	0	1071	1072	1056
Thu Feb 20 20:18:07 2014	1392920287	0	1071	1072	1054
Thu Feb 20 20:18:18 2014	1392920298	0	1072	1072	1055
Thu Feb 20 20:18:05 2014	1392920285	0	1072	1072	1053
Thu Feb 20 20:18:02 2014	1392920282	0	1072	1072	1055
Thu Feb 20 20:18:05 2014	1392920285	0	1072	1072	1052
Thu Feb 20 20:18:00 2014	1392920280	0	1072	1072	1057
Thu Feb 20 20:18:00 2014	1392920280	0	1072	1072	1052
Thu Feb 20 20:18:01 2014	1392920281	0	1072	1072	1057
Thu Feb 20 20:18:09 2014	1392920289	0	1072	1072	1057
Thu Feb 20 20:18:01 2014	1392920281	0	1072	1072	1057
Thu Feb 20 20:18:05 2014	1392920285	0	1072	1072	1047
Thu Feb 20 20:18:05 2014	1392920285	0	1072	1072	1049
Thu Feb 20 20:18:18 2014	1392920298	0	1072	1072	1047
Thu Feb 20 20:18:02 2014	1392920282	0	1072	1072	1055
Thu Feb 20 20:18:20 2014	1392920300	0	1073	1073	1059
Thu Feb 20 20:18:05 2014	1392920285	0	1073	1073	1055
Thu Feb 20 20:18:00 2014	1392920280	0	1073	1073	1058
Thu Feb 20 20:18:01 2014	1392920281	0	1073	1073	1052
Thu Feb 20 20:18:14 2014	1392920294	0	1073	1073	1055
Thu Feb 20 20:18:20 2014	1392920300	0	1073	1073	1058
Thu Feb 20 20:18:01 2014	1392920281	0	1073	1073	1057
Thu Feb 20 20:18:00 2014	1392920280	0	1073	1073	1059
Thu Feb 20 20:18:11 2014	1392920291	0	1073	1073	1053
Thu Feb 20 20:18:20 2014	1392920300	0	1073	1073	1061
Thu Feb 20 20:18:07 2014	1392920287	0	1073	1073	1053
Thu Feb 20 20:18:01 2014	1392920281	0	1073	1074	1058
Thu Feb 20 20:18:07 2014	1392920287	0	1074	1074	1061
Thu Feb 20 20:18:18 2014	1392920298	0	1074	1074	1060
Thu Feb 20 20:18:10 2014	1392920290	0	1074	1074	1058
Thu Feb 20 20:18:05 2014	1392920285	0	1074	1074	1054
Thu Feb 20 20:18:18 2014	1392920298	0	1074	1074	1056
Thu Feb 20 20:18:18 2014	1392920298	0	1074	1074	1061
Thu Feb 20 20:18:18 2014	1392920298	0	1074	1074	1058
Thu Feb 20 20:18:09 2014	1392920289	0	1074	1074	1059
Thu Feb 20 20:18:05 2014	1392920285	0	1074	1074	1048
Thu Feb 20 20:18:11 2014	1392920291	0	1074	1074	1056
Thu Feb 20 20:18:00 2014	1392920280	0	1075	1075	1058
Thu Feb 20 20:18:17 2014	1392920297	0	1075	1075	1059
Thu Feb 20 20:18:20 2014	1392920300	0	1075	1075	1052
Thu Feb 20 20:18:09 2014	1392920289	0	1075	1075	1057
Thu Feb 20 20:18:02 2014	1392920282	0	1075	1075	1052
Thu Feb 20 20:18:16 2014	1392920296	0	1075	1075	1052
Thu Feb 20 20:18:05 2014	1392920285	0	1075	1075	1051
Thu Feb 20 20:18:02 2014	1392920282	0	1075	1075	1059
Thu Feb 20 20:18:00 2014	1392920280	0	1075	1075	1059
